BACKTEST SUMMARY
Pair,CRASH1000
Period,2025-09-30 08:00:00+00:00 to 2026-03-15 16:00:00+00:00
Total Signals,3
Win Rate,66.7%
Profit Factor,2.04
Total PnL (pips),65.64

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-27 04:00:00+00:00,SELL,B,7/10,4615.83200,4678.72536,4552.93864,4490.04529,2025-11-27 16:00:00+00:00,4678.72536,SL,-62.89
2025-11-27 20:00:00+00:00,SELL,B,7/10,4712.27000,4774.67530,4649.86470,4587.45941,2025-12-01 04:00:00+00:00,4649.86470,TP1,62.41
2025-12-02 04:00:00+00:00,SELL,B,7/10,4671.86000,4737.98949,4605.73051,4539.60102,2025-12-03 04:00:00+00:00,4605.73051,TP1,66.13
