BACKTEST SUMMARY
Pair,R_75
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,32
Win Rate,59.4%
Profit Factor,1.59
Total PnL (pips),13274.34

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-02 08:00:00+00:00,SELL,A+,49154.64130,51449.96020,46859.32240,45329.10980,2025-11-03 04:00:00+00:00,46859.32240,TP1,2295.32
2025-11-06 00:00:00+00:00,SELL,A+,45629.94380,47983.29338,43276.59422,41707.69450,2025-11-08 00:00:00+00:00,43276.59422,TP1,2353.35
2025-11-09 04:00:00+00:00,SELL,A+,43470.14640,45463.48860,41476.80420,40147.90940,2025-11-10 08:00:00+00:00,41476.80420,TP1,1993.34
2025-11-10 16:00:00+00:00,SELL,A+,42867.01200,44806.81101,40927.21299,39634.01366,2025-11-11 16:00:00+00:00,44806.81101,SL,-1939.80
2025-11-21 00:00:00+00:00,SELL,A+,40805.18630,42790.27158,38820.10102,37496.71083,2025-11-21 16:00:00+00:00,38820.10102,TP1,1985.09
2025-11-25 08:00:00+00:00,SELL,A+,37433.77990,39184.78281,35682.77699,34515.44171,2025-11-26 04:00:00+00:00,35682.77699,TP1,1751.00
2025-11-26 20:00:00+00:00,SELL,A+,37298.86420,39001.26688,35596.46152,34461.52639,2025-11-27 20:00:00+00:00,39001.26688,SL,-1702.40
2025-12-09 00:00:00+00:00,SELL,A+,43496.97600,45434.35502,41559.59698,40268.01096,2025-12-12 00:00:00+00:00,41559.59698,TP1,1937.38
2025-12-12 08:00:00+00:00,SELL,A+,42811.96390,44740.83502,40883.09278,39597.17870,2025-12-13 04:00:00+00:00,44740.83502,SL,-1928.87
2025-12-17 00:00:00+00:00,BUY,A+,46337.53860,44224.89400,48450.18320,49858.61293,2025-12-17 16:00:00+00:00,48450.18320,TP1,2112.64
2025-12-18 00:00:00+00:00,BUY,A+,47182.28400,44962.66869,49401.89931,50881.64284,2025-12-20 12:00:00+00:00,44962.66869,SL,-2219.62
2025-12-23 12:00:00+00:00,SELL,A+,43091.25670,44998.91362,41183.59978,39911.82849,2025-12-24 12:00:00+00:00,41183.59978,TP1,1907.66
2025-12-25 00:00:00+00:00,SELL,A+,42558.63730,44396.01355,40721.26105,39496.34355,2025-12-25 04:00:00+00:00,40721.26105,TP1,1837.38
2025-12-25 20:00:00+00:00,SELL,A+,41895.74700,43820.65796,39970.83604,38687.56207,2025-12-26 12:00:00+00:00,43820.65796,SL,-1924.91
2025-12-29 00:00:00+00:00,BUY,A+,45320.85720,43176.13332,47465.58108,48895.39700,2025-12-29 08:00:00+00:00,43176.13332,SL,-2144.72
2026-01-02 12:00:00+00:00,SELL,A+,42850.66060,44750.21224,40951.10896,39684.74120,2026-01-02 16:00:00+00:00,44750.21224,SL,-1899.55
2026-01-03 16:00:00+00:00,SELL,A+,43124.52760,45143.47091,41105.58429,39759.62208,2026-01-05 00:00:00+00:00,41105.58429,TP1,2018.94
2026-01-06 16:00:00+00:00,SELL,A+,41108.16600,43140.01019,39076.32181,37721.75902,2026-01-09 20:00:00+00:00,39076.32181,TP1,2031.84
2026-01-11 08:00:00+00:00,SELL,A+,39302.10100,41064.26927,37539.93273,36365.15388,2026-01-11 16:00:00+00:00,41064.26927,SL,-1762.17
2026-01-12 12:00:00+00:00,SELL,A+,40708.95910,42619.72377,38798.19443,37524.35132,2026-01-13 08:00:00+00:00,38798.19443,TP1,1910.76
2026-01-13 16:00:00+00:00,SELL,A+,39612.18150,41416.36413,37807.99887,36605.21045,2026-01-15 00:00:00+00:00,41416.36413,SL,-1804.18
2026-01-19 00:00:00+00:00,SELL,A+,38868.69070,40697.40116,37039.98024,35820.83994,2026-01-20 12:00:00+00:00,37039.98024,TP1,1828.71
2026-01-30 00:00:00+00:00,SELL,A+,26984.99210,28346.57886,25623.40534,24715.68084,2026-01-31 08:00:00+00:00,25623.40534,TP1,1361.59
2026-01-31 12:00:00+00:00,SELL,A+,27112.27120,28507.02003,25717.52237,24787.68981,2026-02-03 12:00:00+00:00,28507.02003,SL,-1394.75
2026-02-06 08:00:00+00:00,SELL,A+,26950.68760,28097.23934,25804.13586,25039.76804,2026-02-08 00:00:00+00:00,25804.13586,TP1,1146.55
2026-02-08 16:00:00+00:00,SELL,A+,26519.98410,27584.74935,25455.21885,24745.37536,2026-02-10 20:00:00+00:00,25455.21885,TP1,1064.77
2026-02-12 00:00:00+00:00,SELL,A+,26128.38440,27348.83183,24907.93697,24094.30535,2026-02-14 08:00:00+00:00,27348.83183,SL,-1220.45
2026-02-23 00:00:00+00:00,BUY,A+,33615.94010,32003.71573,35228.16447,36302.98072,2026-02-23 16:00:00+00:00,35228.16447,TP1,1612.22
2026-02-24 20:00:00+00:00,BUY,A+,34848.64190,33351.47456,36345.80924,37343.92080,2026-02-26 04:00:00+00:00,36345.80924,TP1,1497.17
2026-02-28 04:00:00+00:00,BUY,A+,36203.09280,34614.03814,37792.14746,38851.51723,2026-03-01 08:00:00+00:00,34614.03814,SL,-1589.05
2026-03-12 08:00:00+00:00,BUY,A+,34119.06190,32576.91822,35661.20558,36689.30137,2026-03-13 16:00:00+00:00,35661.20558,TP1,1542.14
2026-03-15 04:00:00+00:00,BUY,A+,35610.07030,34068.59876,37151.54184,38179.18954,2026-03-15 08:00:00+00:00,36227.03160,OPEN,616.96
