BACKTEST SUMMARY
Pair,R_100
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,37
Win Rate,51.4%
Profit Factor,1.08
Total PnL (pips),54.37

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-06 20:00:00+00:00,SELL,A+,850.57000,895.48368,805.65632,775.71387,2025-11-09 08:00:00+00:00,895.48368,SL,-44.91
2025-11-09 12:00:00+00:00,SELL,A+,878.20000,920.67680,835.72320,807.40533,2025-11-10 08:00:00+00:00,835.72320,TP1,42.48
2025-11-10 12:00:00+00:00,SELL,A+,847.33000,890.18357,804.47643,775.90738,2025-11-11 00:00:00+00:00,804.47643,TP1,42.85
2025-11-11 20:00:00+00:00,SELL,A+,836.73000,875.78650,797.67350,771.63583,2025-11-12 08:00:00+00:00,797.67350,TP1,39.06
2025-11-12 12:00:00+00:00,SELL,A+,819.84000,859.31828,780.36172,754.04286,2025-11-13 12:00:00+00:00,859.31828,SL,-39.48
2025-11-16 16:00:00+00:00,SELL,A+,846.06000,890.43609,801.68391,772.09984,2025-11-17 04:00:00+00:00,890.43609,SL,-44.38
2025-11-22 08:00:00+00:00,SELL,A+,859.31000,902.42998,816.19002,787.44337,2025-11-24 12:00:00+00:00,816.19002,TP1,43.12
2025-11-26 16:00:00+00:00,SELL,A+,795.43000,836.45884,754.40116,727.04861,2025-11-27 08:00:00+00:00,754.40116,TP1,41.03
2025-12-03 00:00:00+00:00,SELL,A+,646.18000,681.01341,611.34659,588.12432,2025-12-04 12:00:00+00:00,681.01341,SL,-34.83
2025-12-08 04:00:00+00:00,SELL,A+,665.95000,698.20550,633.69450,612.19083,2025-12-08 20:00:00+00:00,633.69450,TP1,32.26
2025-12-09 00:00:00+00:00,SELL,A+,657.91000,690.66605,625.15395,603.31659,2025-12-09 08:00:00+00:00,625.15395,TP1,32.76
2025-12-10 20:00:00+00:00,SELL,A+,624.31000,657.54890,591.07110,568.91184,2025-12-11 16:00:00+00:00,591.07110,TP1,33.24
2025-12-14 20:00:00+00:00,SELL,A+,547.36000,572.86503,521.85497,504.85162,2025-12-15 08:00:00+00:00,572.86503,SL,-25.51
2025-12-15 12:00:00+00:00,SELL,A+,561.16000,586.85908,535.46092,518.32819,2025-12-16 00:00:00+00:00,586.85908,SL,-25.70
2025-12-26 20:00:00+00:00,BUY,A+,770.79000,730.14979,811.43021,838.52368,2025-12-27 16:00:00+00:00,730.14979,SL,-40.64
2025-12-30 16:00:00+00:00,SELL,A+,680.78000,717.97570,643.58430,618.78717,2025-12-31 00:00:00+00:00,717.97570,SL,-37.20
2025-12-31 08:00:00+00:00,SELL,A+,685.79000,724.84257,646.73743,620.70239,2026-01-01 04:00:00+00:00,724.84257,SL,-39.05
2026-01-01 20:00:00+00:00,BUY,A+,710.32000,671.78264,748.85736,774.54893,2026-01-03 00:00:00+00:00,748.85736,TP1,38.54
2026-01-05 04:00:00+00:00,BUY,A+,766.15000,727.48518,804.81482,830.59137,2026-01-08 20:00:00+00:00,804.81482,TP1,38.66
2026-01-15 08:00:00+00:00,BUY,A+,1026.27000,979.76269,1072.77731,1103.78218,2026-01-16 08:00:00+00:00,1072.77731,TP1,46.51
2026-01-18 08:00:00+00:00,BUY,A+,1072.74000,1023.84060,1121.63940,1154.23899,2026-01-18 12:00:00+00:00,1023.84060,SL,-48.90
