BACKTEST SUMMARY
Pair,R_10
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,21
Win Rate,57.1%
Profit Factor,1.27
Total PnL (pips),68.55

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-04 20:00:00+00:00,SELL,A,7/9,5616.46900,5643.65893,5589.27907,5571.15244,2025-11-05 04:00:00+00:00,5643.65893,SL,-27.19
2025-11-05 20:00:00+00:00,SELL,A,7/9,5637.37800,5664.00803,5610.74797,5592.99461,2025-11-06 08:00:00+00:00,5610.74797,TP1,26.63
2025-11-11 00:00:00+00:00,SELL,A,7/9,5556.82900,5585.22585,5528.43215,5509.50092,2025-11-11 12:00:00+00:00,5528.43215,TP1,28.40
2025-11-16 04:00:00+00:00,SELL,A,7/9,5488.65200,5518.01668,5459.28732,5439.71086,2025-11-17 12:00:00+00:00,5518.01668,SL,-29.36
2025-11-21 04:00:00+00:00,SELL,A,7/9,5551.61700,5580.87555,5522.35845,5502.85275,2025-11-21 12:00:00+00:00,5522.35845,TP1,29.26
2025-12-16 00:00:00+00:00,BUY,A,7/9,5548.65500,5517.39406,5579.91594,5600.75657,2025-12-17 04:00:00+00:00,5517.39406,SL,-31.26
2025-12-17 04:00:00+00:00,BUY,A,7/9,5528.48100,5498.01250,5558.94950,5579.26183,2025-12-18 00:00:00+00:00,5498.01250,SL,-30.47
2026-01-03 00:00:00+00:00,BUY,A,7/9,5779.59100,5751.97358,5807.20842,5825.62004,2026-01-03 12:00:00+00:00,5751.97358,SL,-27.62
2026-01-04 08:00:00+00:00,BUY,A,7/9,5759.57200,5731.22097,5787.92303,5806.82372,2026-01-05 08:00:00+00:00,5731.22097,SL,-28.35
2026-01-19 08:00:00+00:00,SELL,A,7/9,5629.56400,5655.35027,5603.77773,5586.58689,2026-01-19 20:00:00+00:00,5655.35027,SL,-25.79
2026-01-20 08:00:00+00:00,SELL,A,7/9,5635.41700,5662.03333,5608.80067,5591.05645,2026-01-21 00:00:00+00:00,5608.80067,TP1,26.62
2026-01-21 12:00:00+00:00,SELL,A,7/9,5618.57000,5643.89976,5593.24024,5576.35373,2026-01-23 00:00:00+00:00,5593.24024,TP1,25.33
2026-01-29 00:00:00+00:00,SELL,A,7/9,5471.06900,5497.43624,5444.70176,5427.12360,2026-01-30 00:00:00+00:00,5444.70176,TP1,26.37
2026-02-02 20:00:00+00:00,SELL,A,7/9,5400.36600,5426.35645,5374.37555,5357.04858,2026-02-03 20:00:00+00:00,5426.35645,SL,-25.99
2026-02-04 04:00:00+00:00,SELL,A,7/9,5415.72400,5441.37416,5390.07384,5372.97373,2026-02-06 00:00:00+00:00,5390.07384,TP1,25.65
2026-02-07 00:00:00+00:00,SELL,A,7/9,5393.96700,5419.46063,5368.47337,5351.47761,2026-02-08 04:00:00+00:00,5368.47337,TP1,25.49
2026-02-25 08:00:00+00:00,SELL,A,7/9,5056.36700,5083.72299,5029.01101,5010.77369,2026-02-26 08:00:00+00:00,5029.01101,TP1,27.36
2026-02-26 16:00:00+00:00,SELL,A,7/9,5056.30000,5083.47631,5029.12369,5011.00615,2026-02-27 04:00:00+00:00,5029.12369,TP1,27.18
2026-02-27 20:00:00+00:00,SELL,A,7/9,5041.18200,5067.10543,5015.25857,4997.97628,2026-03-01 04:00:00+00:00,5015.25857,TP1,25.92
2026-03-02 04:00:00+00:00,SELL,A,7/9,5020.42500,5044.94164,4995.90836,4979.56393,2026-03-03 00:00:00+00:00,4995.90836,TP1,24.52
2026-03-03 08:00:00+00:00,SELL,A,7/9,5021.47100,5045.60650,4997.33550,4981.24517,2026-03-03 20:00:00+00:00,5045.60650,SL,-24.14
