BACKTEST SUMMARY
Pair,R_100
Period,2026-02-02 08:00:00+00:00 to 2026-03-15 22:00:00+00:00
Total Signals,22
Win Rate,59.1%
Profit Factor,1.42
Total PnL (pips),77.13

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-10 19:00:00+00:00,SELL,B,7/10,1057.07000,1083.35685,1030.78315,1013.25859,2026-02-10 21:00:00+00:00,1030.78315,TP1,26.29
2026-02-11 04:00:00+00:00,SELL,B,7/10,1031.86000,1059.36301,1004.35699,986.02164,2026-02-11 12:00:00+00:00,1059.36301,SL,-27.50
2026-02-12 05:00:00+00:00,SELL,B,7/10,1018.13000,1046.41437,989.84563,970.98938,2026-02-12 08:00:00+00:00,1046.41437,SL,-28.28
2026-02-15 18:00:00+00:00,SELL,B,7/10,967.05000,990.92902,943.17098,927.25163,2026-02-16 04:00:00+00:00,943.17098,TP1,23.88
2026-02-17 12:00:00+00:00,SELL,B,7/10,893.43000,915.77391,871.08609,856.19015,2026-02-17 15:00:00+00:00,871.08609,TP1,22.34
2026-02-17 18:00:00+00:00,SELL,B,7/10,878.26000,900.40784,856.11216,841.34694,2026-02-18 01:00:00+00:00,856.11216,TP1,22.15
2026-02-18 14:00:00+00:00,SELL,B,7/10,848.02000,870.23402,825.80598,810.99664,2026-02-18 16:00:00+00:00,870.23402,SL,-22.21
2026-02-18 22:00:00+00:00,SELL,B,7/10,869.32000,891.72229,846.91771,831.98285,2026-02-19 01:00:00+00:00,846.91771,TP1,22.40
2026-02-23 11:00:00+00:00,SELL,B,7/10,832.24000,853.00693,811.47307,797.62845,2026-02-23 16:00:00+00:00,811.47307,TP1,20.77
2026-02-23 23:00:00+00:00,SELL,B,7/10,827.89000,846.96138,808.81862,796.10436,2026-02-24 00:00:00+00:00,808.81862,TP1,19.07
2026-02-24 05:00:00+00:00,SELL,B,7/10,810.74000,832.30771,789.17229,774.79382,2026-02-24 09:00:00+00:00,832.30771,SL,-21.57
2026-02-24 09:00:00+00:00,SELL,B,7/10,831.66000,852.83312,810.48688,796.37147,2026-02-24 12:00:00+00:00,852.83312,SL,-21.17
2026-02-24 13:00:00+00:00,SELL,A,8/10,826.38000,848.37685,804.38315,789.71859,2026-02-24 23:00:00+00:00,804.38315,TP1,22.00
2026-03-07 12:00:00+00:00,SELL,B,7/10,774.69000,793.51973,755.86027,743.30712,2026-03-07 17:00:00+00:00,755.86027,TP1,18.83
2026-03-09 00:00:00+00:00,SELL,B,7/10,685.83000,702.86028,668.79972,657.44619,2026-03-09 02:00:00+00:00,702.86028,SL,-17.03
2026-03-09 04:00:00+00:00,SELL,B,7/10,693.17000,710.00060,676.33940,665.11900,2026-03-09 20:00:00+00:00,676.33940,TP1,16.83
2026-03-11 07:00:00+00:00,SELL,B,7/10,635.67000,652.32432,619.01568,607.91281,2026-03-11 11:00:00+00:00,652.32432,SL,-16.65
2026-03-11 11:00:00+00:00,SELL,B,7/10,643.75000,659.83103,627.66897,616.94828,2026-03-11 15:00:00+00:00,627.66897,TP1,16.08
2026-03-11 17:00:00+00:00,SELL,B,7/10,635.65000,651.94324,619.35676,608.49460,2026-03-11 20:00:00+00:00,619.35676,TP1,16.29
2026-03-14 13:00:00+00:00,SELL,B,7/10,589.58000,604.62629,574.53371,564.50285,2026-03-14 17:00:00+00:00,604.62629,SL,-15.05
2026-03-15 06:00:00+00:00,SELL,B,7/10,610.79000,625.46693,596.11307,586.32845,2026-03-15 13:00:00+00:00,625.46693,SL,-14.68
2026-03-15 13:00:00+00:00,SELL,B,7/10,613.22000,627.56938,598.87062,589.30437,2026-03-15 16:00:00+00:00,598.87062,TP1,14.35
