BACKTEST SUMMARY
Pair,R_100
Period,2026-02-03 00:00:00+00:00 to 2026-03-16 14:00:00+00:00
Total Signals,42
Win Rate,57.1%
Profit Factor,1.41
Total PnL (pips),148.62

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-11 12:00:00+00:00,SELL,B,7/12,1080.24000,1108.83530,1051.64470,1032.58117,2026-02-11 20:00:00+00:00,1051.64470,TP1,28.60
2026-02-11 20:00:00+00:00,SELL,B,7/12,1036.43000,1064.21737,1008.64263,990.11772,2026-02-11 22:00:00+00:00,1008.64263,TP1,27.79
2026-02-12 01:00:00+00:00,SELL,B,7/12,994.08000,1022.37036,965.78964,946.92940,2026-02-12 06:00:00+00:00,1022.37036,SL,-28.29
2026-02-12 06:00:00+00:00,SELL,B,7/12,1034.99000,1063.26727,1006.71273,987.86121,2026-02-12 09:00:00+00:00,1063.26727,SL,-28.28
2026-02-12 18:00:00+00:00,SELL,B,7/12,1102.53000,1131.85013,1073.20987,1053.66312,2026-02-13 03:00:00+00:00,1073.20987,TP1,29.32
2026-02-13 03:00:00+00:00,SELL,B,7/12,1064.43000,1091.39317,1037.46683,1019.49139,2026-02-13 05:00:00+00:00,1037.46683,TP1,26.96
2026-02-13 09:00:00+00:00,SELL,B,8/12,1009.05000,1035.92123,982.17877,964.26462,2026-02-13 11:00:00+00:00,1035.92123,SL,-26.87
2026-02-15 14:00:00+00:00,SELL,B,7/12,986.53000,1009.67071,963.38929,947.96214,2026-02-15 19:00:00+00:00,963.38929,TP1,23.14
2026-02-15 19:00:00+00:00,SELL,B,7/12,971.17000,994.83909,947.50091,931.72151,2026-02-16 04:00:00+00:00,947.50091,TP1,23.67
2026-02-17 02:00:00+00:00,SELL,B,8/12,865.61000,887.60126,843.61874,828.95790,2026-02-17 04:00:00+00:00,843.61874,TP1,21.99
2026-02-17 10:00:00+00:00,SELL,B,7/12,875.62000,897.79386,853.44614,838.66357,2026-02-18 01:00:00+00:00,853.44614,TP1,22.17
2026-02-18 03:00:00+00:00,SELL,B,8/12,838.54000,861.92022,815.15978,799.57297,2026-02-18 05:00:00+00:00,815.15978,TP1,23.38
2026-02-18 10:00:00+00:00,SELL,B,8/12,820.75000,843.22167,798.27833,783.29722,2026-02-18 14:00:00+00:00,843.22167,SL,-22.47
2026-02-18 14:00:00+00:00,SELL,B,7/12,848.02000,870.23402,825.80598,810.99664,2026-02-18 16:00:00+00:00,870.23402,SL,-22.21
2026-02-18 20:00:00+00:00,SELL,B,7/12,880.54000,903.57283,857.50717,842.15194,2026-02-19 00:00:00+00:00,857.50717,TP1,23.03
2026-02-19 02:00:00+00:00,SELL,B,7/12,852.71000,874.70386,830.71614,816.05357,2026-02-19 10:00:00+00:00,830.71614,TP1,21.99
2026-02-21 02:00:00+00:00,BUY,B,7/12,902.26000,880.00875,924.51125,939.34542,2026-02-21 06:00:00+00:00,880.00875,SL,-22.25
2026-02-22 18:00:00+00:00,SELL,B,7/12,842.35000,863.53543,821.16457,807.04096,2026-02-22 22:00:00+00:00,821.16457,TP1,21.19
2026-02-23 00:00:00+00:00,SELL,B,7/12,826.86000,847.79758,805.92242,791.96403,2026-02-23 18:00:00+00:00,805.92242,TP1,20.94
2026-02-23 23:00:00+00:00,SELL,B,7/12,827.89000,846.96138,808.81862,796.10436,2026-02-24 00:00:00+00:00,808.81862,TP1,19.07
2026-02-24 05:00:00+00:00,SELL,B,7/12,810.74000,832.30771,789.17229,774.79382,2026-02-24 09:00:00+00:00,832.30771,SL,-21.57
2026-02-24 09:00:00+00:00,SELL,B,7/12,831.66000,852.83312,810.48688,796.37147,2026-02-24 12:00:00+00:00,852.83312,SL,-21.17
2026-02-24 13:00:00+00:00,SELL,B,8/12,826.38000,848.37685,804.38315,789.71859,2026-02-24 23:00:00+00:00,804.38315,TP1,22.00
2026-02-25 15:00:00+00:00,SELL,B,7/12,863.55000,884.12247,842.97753,829.26256,2026-02-25 19:00:00+00:00,842.97753,TP1,20.57
2026-02-27 19:00:00+00:00,SELL,B,7/12,818.06000,838.86348,797.25652,783.38753,2026-02-28 05:00:00+00:00,838.86348,SL,-20.80
2026-03-07 05:00:00+00:00,SELL,B,7/12,757.26000,775.51834,739.00166,726.82943,2026-03-07 12:00:00+00:00,775.51834,SL,-18.26
2026-03-07 12:00:00+00:00,SELL,B,7/12,774.69000,793.51973,755.86027,743.30712,2026-03-07 17:00:00+00:00,755.86027,TP1,18.83
2026-03-08 00:00:00+00:00,SELL,B,8/12,725.93000,744.59035,707.26965,694.82942,2026-03-08 05:00:00+00:00,707.26965,TP1,18.66
2026-03-08 11:00:00+00:00,SELL,B,8/12,683.10000,701.21725,664.98275,652.90459,2026-03-08 15:00:00+00:00,664.98275,TP1,18.12
2026-03-08 17:00:00+00:00,SELL,B,8/12,664.09000,681.64051,646.53949,634.83915,2026-03-09 00:00:00+00:00,681.64051,SL,-17.55
2026-03-09 00:00:00+00:00,SELL,B,7/12,685.83000,702.86028,668.79972,657.44619,2026-03-09 02:00:00+00:00,702.86028,SL,-17.03
2026-03-09 04:00:00+00:00,SELL,A,9/12,693.17000,710.00060,676.33940,665.11900,2026-03-09 20:00:00+00:00,676.33940,TP1,16.83
2026-03-10 10:00:00+00:00,SELL,B,7/12,654.40000,670.86945,637.93055,626.95091,2026-03-10 17:00:00+00:00,637.93055,TP1,16.47
2026-03-10 23:00:00+00:00,SELL,B,8/12,635.68000,650.54218,620.81782,610.90970,2026-03-11 01:00:00+00:00,620.81782,TP1,14.86
2026-03-11 03:00:00+00:00,SELL,B,8/12,620.15000,635.26368,605.03632,594.96053,2026-03-11 05:00:00+00:00,635.26368,SL,-15.11
2026-03-11 07:00:00+00:00,SELL,B,7/12,635.67000,652.32432,619.01568,607.91281,2026-03-11 11:00:00+00:00,652.32432,SL,-16.65
2026-03-11 11:00:00+00:00,SELL,B,7/12,643.75000,659.83103,627.66897,616.94828,2026-03-11 15:00:00+00:00,627.66897,TP1,16.08
2026-03-11 15:00:00+00:00,SELL,B,8/12,626.99000,643.40341,610.57659,599.63432,2026-03-11 18:00:00+00:00,643.40341,SL,-16.41
2026-03-11 21:00:00+00:00,SELL,B,8/12,610.27000,626.75530,593.78470,582.79450,2026-03-12 01:00:00+00:00,626.75530,SL,-16.49
2026-03-14 12:00:00+00:00,SELL,B,8/12,584.53000,599.82100,569.23900,559.04500,2026-03-14 15:00:00+00:00,599.82100,SL,-15.29
2026-03-15 06:00:00+00:00,SELL,B,7/12,610.79000,625.46693,596.11307,586.32845,2026-03-15 13:00:00+00:00,625.46693,SL,-14.68
2026-03-15 13:00:00+00:00,SELL,B,7/12,613.22000,627.56938,598.87062,589.30437,2026-03-15 16:00:00+00:00,598.87062,TP1,14.35
