BACKTEST SUMMARY
Pair,R_10
Period,2026-02-06 23:00:00+00:00 to 2026-03-20 13:00:00+00:00
Total Signals,2
Win Rate,50.0%
Profit Factor,2.25
Total PnL (pips),10.78

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-18 23:00:00+00:00,SELL,B,9/12,5157.56500,5167.27914,5138.13672,5128.42258,2026-02-19 17:00:00+00:00,5138.13672,TP1,19.43
2026-03-05 19:00:00+00:00,BUY,B,10/12,5068.83100,5060.18009,5086.13281,5094.78372,2026-03-06 19:00:00+00:00,5060.18009,SL,-8.65
