BACKTEST SUMMARY
Pair,R_10
Period,2026-02-06 20:00:00+00:00 to 2026-03-20 10:00:00+00:00
Total Signals,28
Win Rate,50.0%
Profit Factor,2.07
Total PnL (pips),129.44

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-15 04:00:00+00:00,SELL,B,7/12,5218.91300,5228.84413,5199.05074,5189.11961,2026-02-15 15:00:00+00:00,5199.05074,TP1,19.86
2026-02-15 17:00:00+00:00,SELL,B,7/12,5212.13800,5221.90982,5192.59435,5182.82253,2026-02-16 04:00:00+00:00,5192.59435,TP1,19.54
2026-02-16 06:00:00+00:00,SELL,B,8/12,5191.12900,5199.69959,5173.98783,5165.41724,2026-02-16 09:00:00+00:00,5199.69959,SL,-8.57
2026-02-16 10:00:00+00:00,SELL,B,7/12,5197.45700,5206.03669,5180.29762,5171.71792,2026-02-16 15:00:00+00:00,5180.29762,TP1,17.16
2026-02-16 18:00:00+00:00,SELL,B,8/12,5160.21800,5169.05880,5142.53640,5133.69559,2026-02-16 20:00:00+00:00,5169.05880,SL,-8.84
2026-02-16 23:00:00+00:00,SELL,B,7/12,5164.10700,5173.61928,5145.08245,5135.57017,2026-02-17 12:00:00+00:00,5145.08245,TP1,19.02
2026-02-17 14:00:00+00:00,SELL,B,8/12,5147.98800,5157.94965,5128.06470,5118.10305,2026-02-17 18:00:00+00:00,5128.06470,TP1,19.92
2026-02-17 19:00:00+00:00,SELL,B,7/12,5131.01200,5140.67050,5111.69500,5102.03651,2026-02-17 20:00:00+00:00,5140.67050,SL,-9.66
2026-02-18 01:00:00+00:00,SELL,B,8/12,5132.14900,5141.73920,5112.96861,5103.37841,2026-02-18 20:00:00+00:00,5141.73920,SL,-9.59
2026-02-18 20:00:00+00:00,SELL,B,8/12,5149.44000,5159.48980,5129.34040,5119.29060,2026-02-18 22:00:00+00:00,5159.48980,SL,-10.05
2026-02-19 00:00:00+00:00,SELL,B,8/12,5159.55500,5168.95584,5140.75331,5131.35247,2026-02-19 14:00:00+00:00,5140.75331,TP1,18.80
2026-02-20 23:00:00+00:00,SELL,B,7/12,5111.42100,5119.03910,5096.18480,5088.56670,2026-02-21 01:00:00+00:00,5096.18480,TP1,15.24
2026-02-21 07:00:00+00:00,SELL,B,7/12,5085.99900,5094.11134,5069.77433,5061.66199,2026-02-21 10:00:00+00:00,5094.11134,SL,-8.11
2026-02-21 11:00:00+00:00,SELL,B,7/12,5088.18000,5095.99157,5072.55687,5064.74530,2026-02-21 15:00:00+00:00,5095.99157,SL,-7.81
2026-02-21 15:00:00+00:00,SELL,B,7/12,5096.12700,5103.94268,5080.49565,5072.67997,2026-02-21 16:00:00+00:00,5103.94268,SL,-7.82
2026-02-21 19:00:00+00:00,SELL,B,8/12,5077.86800,5086.40433,5060.79534,5052.25901,2026-02-22 03:00:00+00:00,5060.79534,TP1,17.07
2026-02-22 03:00:00+00:00,SELL,B,8/12,5055.29200,5063.41265,5039.05069,5030.93004,2026-02-22 13:00:00+00:00,5063.41265,SL,-8.12
2026-02-22 14:00:00+00:00,SELL,B,8/12,5054.28800,5062.67051,5037.52298,5029.14047,2026-02-22 17:00:00+00:00,5062.67051,SL,-8.38
2026-02-22 18:00:00+00:00,SELL,B,8/12,5068.34200,5077.20296,5050.62009,5041.75913,2026-02-23 06:00:00+00:00,5050.62009,TP1,17.72
2026-02-23 16:00:00+00:00,SELL,B,8/12,5081.30100,5089.79957,5064.30385,5055.80528,2026-02-23 20:00:00+00:00,5064.30385,TP1,17.00
2026-02-24 18:00:00+00:00,SELL,B,8/12,5041.87700,5049.49090,5026.64921,5019.03531,2026-02-24 23:00:00+00:00,5049.49090,SL,-7.61
2026-02-24 23:00:00+00:00,SELL,B,9/12,5044.29600,5052.26017,5028.36766,5020.40350,2026-02-25 03:00:00+00:00,5028.36766,TP1,15.93
2026-02-25 06:00:00+00:00,SELL,B,7/12,5043.44600,5052.73065,5024.87670,5015.59204,2026-02-25 07:00:00+00:00,5052.73065,SL,-9.28
2026-03-10 09:00:00+00:00,SELL,B,7/12,5109.47300,5117.57525,5093.26849,5085.16624,2026-03-10 12:00:00+00:00,5117.57525,SL,-8.10
2026-03-10 14:00:00+00:00,SELL,B,7/12,5110.64600,5118.73457,5094.46887,5086.38030,2026-03-11 00:00:00+00:00,5094.46887,TP1,16.18
2026-03-15 00:00:00+00:00,SELL,B,7/12,5104.52300,5113.72960,5086.10980,5076.90319,2026-03-15 11:00:00+00:00,5086.10980,TP1,18.41
2026-03-16 07:00:00+00:00,SELL,B,7/12,5126.97000,5136.23255,5108.44491,5099.18236,2026-03-16 11:00:00+00:00,5108.44491,TP1,18.53
2026-03-16 11:00:00+00:00,SELL,B,8/12,5108.76100,5117.75879,5090.76541,5081.76762,2026-03-16 12:00:00+00:00,5117.75879,SL,-9.00
