BACKTEST SUMMARY
Pair,R_100
Period,2026-02-06 21:00:00+00:00 to 2026-03-20 11:00:00+00:00
Total Signals,3
Win Rate,66.7%
Profit Factor,4.61
Total PnL (pips),38.23

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-25 12:00:00+00:00,SELL,B,5/8,871.58000,884.83406,845.07187,831.81781,2026-02-25 18:00:00+00:00,845.07187,TP1,26.51
2026-03-09 03:00:00+00:00,SELL,B,9/12,698.55000,709.70427,676.24145,665.08718,2026-03-09 20:00:00+00:00,676.24145,TP1,22.31
2026-03-10 13:00:00+00:00,BUY,B,5/9,650.21000,639.62211,671.38579,681.97368,2026-03-10 17:00:00+00:00,639.62211,SL,-10.59
