BACKTEST SUMMARY
Pair,R_25
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,73
Win Rate,43.8%
Profit Factor,0.87
Total PnL (pips),-183.41

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-02 08:00:00+00:00,SELL,B,6/9,2435.84100,2464.20823,2407.47377,2388.56229,2025-11-04 08:00:00+00:00,2464.20823,SL,-28.37
2025-11-05 08:00:00+00:00,SELL,B,6/9,2467.35700,2498.32309,2436.39091,2415.74686,2025-11-06 00:00:00+00:00,2498.32309,SL,-30.97
2025-11-08 08:00:00+00:00,BUY,B,6/9,2513.18400,2483.08057,2543.28743,2563.35639,2025-11-09 04:00:00+00:00,2543.28743,TP1,30.10
2025-11-10 12:00:00+00:00,BUY,B,6/9,2598.75600,2566.46904,2631.04296,2652.56760,2025-11-11 04:00:00+00:00,2566.46904,SL,-32.29
2025-11-11 04:00:00+00:00,BUY,B,6/9,2565.65100,2532.77548,2598.52652,2620.44354,2025-11-11 12:00:00+00:00,2598.52652,TP1,32.88
2025-11-11 20:00:00+00:00,BUY,B,6/9,2622.97100,2589.37917,2656.56283,2678.95739,2025-11-13 04:00:00+00:00,2656.56283,TP1,33.59
2025-11-13 04:00:00+00:00,BUY,B,6/9,2652.86600,2619.72385,2686.00815,2708.10291,2025-11-13 12:00:00+00:00,2686.00815,TP1,33.14
2025-11-13 20:00:00+00:00,BUY,B,6/9,2703.24100,2668.09102,2738.39098,2761.82430,2025-11-15 00:00:00+00:00,2761.82430,TP2,58.58
2025-11-15 00:00:00+00:00,BUY,B,6/9,2752.75000,2717.61505,2787.88495,2811.30825,2025-11-18 20:00:00+00:00,2717.61505,SL,-35.13
2025-11-18 20:00:00+00:00,BUY,B,6/9,2713.89900,2678.10997,2749.68803,2773.54738,2025-11-19 04:00:00+00:00,2749.68803,TP1,35.79
2025-11-19 12:00:00+00:00,BUY,B,6/9,2764.26600,2728.25697,2800.27503,2824.28105,2025-11-20 20:00:00+00:00,2728.25697,SL,-36.01
2025-11-20 20:00:00+00:00,BUY,A,7/9,2727.44600,2693.44616,2761.44584,2784.11239,2025-11-21 12:00:00+00:00,2693.44616,SL,-34.00
2025-11-21 12:00:00+00:00,BUY,B,6/9,2669.46300,2631.26400,2707.66200,2733.12800,2025-11-22 00:00:00+00:00,2631.26400,SL,-38.20
2025-11-25 00:00:00+00:00,SELL,B,6/9,2605.63700,2638.65452,2572.61948,2550.60780,2025-11-25 20:00:00+00:00,2572.61948,TP1,33.02
2025-11-28 04:00:00+00:00,SELL,B,6/9,2467.08900,2497.24959,2436.92841,2416.82135,2025-11-28 20:00:00+00:00,2497.24959,SL,-30.16
2025-11-28 20:00:00+00:00,SELL,B,6/9,2496.64900,2526.65475,2466.64325,2446.63942,2025-11-29 20:00:00+00:00,2466.64325,TP1,30.01
2025-11-29 20:00:00+00:00,SELL,B,6/9,2462.41600,2495.19167,2429.64033,2407.78988,2025-11-30 08:00:00+00:00,2429.64033,TP1,32.78
2025-11-30 12:00:00+00:00,SELL,B,6/9,2455.79200,2488.88409,2422.69991,2400.63851,2025-12-02 04:00:00+00:00,2422.69991,TP1,33.09
2025-12-02 04:00:00+00:00,SELL,B,6/9,2416.14400,2446.48712,2385.80088,2365.57214,2025-12-03 00:00:00+00:00,2446.48712,SL,-30.34
2025-12-03 00:00:00+00:00,SELL,B,6/9,2429.98200,2462.58135,2397.38265,2375.64974,2025-12-04 00:00:00+00:00,2397.38265,TP1,32.60
2025-12-04 00:00:00+00:00,SELL,B,6/9,2402.30600,2435.47264,2369.13936,2347.02826,2025-12-04 12:00:00+00:00,2369.13936,TP1,33.17
2025-12-04 16:00:00+00:00,SELL,B,6/9,2372.39600,2404.09046,2340.70154,2319.57190,2025-12-07 00:00:00+00:00,2340.70154,TP1,31.69
2025-12-07 00:00:00+00:00,SELL,B,6/9,2332.23100,2361.47126,2302.99074,2283.49724,2025-12-07 20:00:00+00:00,2361.47126,SL,-29.24
2025-12-07 20:00:00+00:00,SELL,B,6/9,2356.35200,2384.50999,2328.19401,2309.42202,2025-12-09 16:00:00+00:00,2384.50999,SL,-28.16
2025-12-09 16:00:00+00:00,SELL,A,7/9,2389.23500,2417.55246,2360.91754,2342.03923,2025-12-10 12:00:00+00:00,2417.55246,SL,-28.32
2025-12-10 12:00:00+00:00,SELL,B,6/9,2417.98100,2445.43300,2390.52900,2372.22767,2025-12-11 04:00:00+00:00,2390.52900,TP1,27.45
2025-12-11 04:00:00+00:00,SELL,B,6/9,2383.39100,2412.26586,2354.51614,2335.26623,2025-12-12 04:00:00+00:00,2412.26586,SL,-28.87
2025-12-12 04:00:00+00:00,SELL,B,6/9,2402.03000,2429.69687,2374.36313,2355.91856,2025-12-13 08:00:00+00:00,2429.69687,SL,-27.67
