BACKTEST SUMMARY
Pair,R_75
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,37
Win Rate,51.4%
Profit Factor,1.14
Total PnL (pips),4774.61

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-02 08:00:00+00:00,SELL,A+,49154.64130,51704.99564,46604.28696,44053.93263,2025-11-03 04:00:00+00:00,46604.28696,TP1,2550.35
2025-11-04 20:00:00+00:00,SELL,A+,44464.32820,47145.82433,41782.83207,39101.33593,2025-11-08 08:00:00+00:00,41782.83207,TP1,2681.50
2025-11-09 00:00:00+00:00,SELL,A+,42670.05640,44851.07395,40489.03885,38308.02130,2025-11-11 16:00:00+00:00,44851.07395,SL,-2181.02
2025-11-20 00:00:00+00:00,SELL,A+,40546.19230,42893.83167,38198.55293,35850.91355,2025-11-21 20:00:00+00:00,38198.55293,TP1,2347.64
2025-11-24 00:00:00+00:00,SELL,A+,37724.27470,39838.65543,35609.89397,33495.51324,2025-11-26 04:00:00+00:00,35609.89397,TP1,2114.38
2025-11-26 16:00:00+00:00,SELL,A+,36225.37630,38073.10383,34377.64877,32529.92123,2025-11-27 20:00:00+00:00,38073.10383,SL,-1847.73
2025-12-09 00:00:00+00:00,SELL,A+,43496.97600,45649.61936,41344.33264,39191.68928,2025-12-12 00:00:00+00:00,41344.33264,TP1,2152.64
2025-12-12 04:00:00+00:00,SELL,A+,42095.37890,44207.40908,39983.34872,37871.31855,2025-12-13 00:00:00+00:00,44207.40908,SL,-2112.03
2025-12-15 04:00:00+00:00,BUY,A+,46088.34310,43856.49198,48320.19422,50552.04534,2025-12-16 00:00:00+00:00,48320.19422,TP1,2231.85
2025-12-16 08:00:00+00:00,BUY,A+,46908.10450,44498.58691,49317.62209,51727.13969,2025-12-20 12:00:00+00:00,44498.58691,SL,-2409.52
2025-12-23 12:00:00+00:00,SELL,A+,43091.25670,45210.87550,40971.63790,38852.01909,2025-12-24 12:00:00+00:00,40971.63790,TP1,2119.62
2025-12-25 00:00:00+00:00,SELL,A+,42558.63730,44600.16646,40517.10814,38475.57897,2025-12-25 08:00:00+00:00,40517.10814,TP1,2041.53
2025-12-25 16:00:00+00:00,SELL,A+,41562.14570,43697.67822,39426.61318,37291.08066,2025-12-26 04:00:00+00:00,43697.67822,SL,-2135.53
2025-12-26 08:00:00+00:00,SELL,A+,42918.80530,45081.30224,40756.30836,38593.81142,2025-12-27 00:00:00+00:00,45081.30224,SL,-2162.50
2025-12-29 00:00:00+00:00,BUY,A+,45320.85720,42937.83067,47703.88373,50086.91026,2025-12-29 08:00:00+00:00,42937.83067,SL,-2383.03
2025-12-31 20:00:00+00:00,SELL,A+,42600.19040,44911.24513,40289.13567,37978.08094,2026-01-02 16:00:00+00:00,44911.24513,SL,-2311.05
2026-01-02 20:00:00+00:00,SELL,A+,43832.40580,46093.31788,41571.49372,39310.58164,2026-01-04 20:00:00+00:00,41571.49372,TP1,2260.91
2026-01-06 08:00:00+00:00,SELL,A+,40281.60010,42575.75614,37987.44406,35693.28801,2026-01-07 04:00:00+00:00,42575.75614,SL,-2294.16
