BACKTEST SUMMARY
Pair,CRASH300N
Period,2025-09-30 08:00:00+00:00 to 2026-03-15 16:00:00+00:00
Total Signals,7
Win Rate,42.9%
Profit Factor,0.81
Total PnL (pips),-69.91

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-13 12:00:00+00:00,SELL,A,8/10,995.61000,1068.55528,922.66472,849.71944,2025-11-16 04:00:00+00:00,922.66472,TP1,72.95
2026-02-07 00:00:00+00:00,SELL,B,7/10,1241.58300,1337.27473,1145.89127,1050.19955,2026-02-09 04:00:00+00:00,1337.27473,SL,-95.69
2026-02-09 08:00:00+00:00,SELL,A,8/10,1295.82600,1384.26319,1207.38881,1118.95161,2026-02-10 08:00:00+00:00,1384.26319,SL,-88.44
2026-02-10 12:00:00+00:00,SELL,B,7/10,1467.19500,1556.98424,1377.40576,1287.61652,2026-02-12 04:00:00+00:00,1556.98424,SL,-89.79
2026-03-05 08:00:00+00:00,SELL,B,7/10,1583.99600,1700.76623,1467.22577,1350.45555,2026-03-06 00:00:00+00:00,1467.22577,TP1,116.77
2026-03-06 12:00:00+00:00,SELL,B,7/10,1564.26100,1676.95545,1451.56655,1338.87211,2026-03-07 08:00:00+00:00,1451.56655,TP1,112.69
2026-03-09 12:00:00+00:00,SELL,B,7/10,1438.91200,1537.31142,1340.51258,1242.11317,2026-03-12 04:00:00+00:00,1537.31142,SL,-98.40
