BACKTEST SUMMARY
Pair,R_75
Period,2025-10-01 00:00:00+00:00 to 2026-03-16 08:00:00+00:00
Total Signals,4
Win Rate,50.0%
Profit Factor,0.94
Total PnL (pips),-239.95

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-06 08:00:00+00:00,SELL,B,9/14,45108.11300,47650.68223,43201.18608,41929.90147,2025-11-08 00:00:00+00:00,43201.18608,TP1,1906.93
2025-11-27 04:00:00+00:00,SELL,B,9/14,37066.09770,38960.40492,35645.36728,34698.21367,2025-11-27 20:00:00+00:00,38960.40492,SL,-1894.31
2025-11-28 00:00:00+00:00,SELL,B,9/14,39722.49040,41657.51656,38271.22078,37303.70770,2025-11-29 20:00:00+00:00,41657.51656,SL,-1935.03
2026-01-03 16:00:00+00:00,SELL,B,10/14,43124.52760,45367.79795,41442.07484,40320.43966,2026-01-05 00:00:00+00:00,41442.07484,TP1,1682.45
