BACKTEST SUMMARY
Pair,R_10
Period,2026-02-02 23:00:00+00:00 to 2026-03-16 13:00:00+00:00
Total Signals,6
Win Rate,83.3%
Profit Factor,4.93
Total PnL (pips),53.56

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-14 23:00:00+00:00,SELL,A,8/10,5233.62700,5247.88755,5219.36645,5209.85942,2026-02-15 04:00:00+00:00,5219.36645,TP1,14.26
2026-02-16 09:00:00+00:00,SELL,A,8/10,5204.67000,5217.31866,5192.02134,5183.58891,2026-02-16 12:00:00+00:00,5192.02134,TP1,12.65
2026-02-18 17:00:00+00:00,SELL,A,8/10,5128.79800,5142.43781,5115.15819,5106.06499,2026-02-18 20:00:00+00:00,5142.43781,SL,-13.64
2026-02-22 18:00:00+00:00,SELL,A,8/10,5068.34200,5081.63343,5055.05057,5046.18961,2026-02-23 03:00:00+00:00,5055.05057,TP1,13.29
2026-02-25 07:00:00+00:00,SELL,A+,9/10,5049.86000,5063.88462,5035.83538,5026.48563,2026-02-25 20:00:00+00:00,5035.83538,TP1,14.02
2026-03-05 19:00:00+00:00,BUY,A,8/10,5068.83100,5055.85464,5081.80736,5090.45827,2026-03-06 01:00:00+00:00,5081.80736,TP1,12.98
