BACKTEST SUMMARY
Pair,CRASH300N
Period,2025-10-01 00:00:00+00:00 to 2026-03-16 08:00:00+00:00
Total Signals,4
Win Rate,50.0%
Profit Factor,0.95
Total PnL (pips),-9.91

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-14 04:00:00+00:00,SELL,B,9/14,985.72000,1054.68582,916.75418,847.78836,2025-11-16 04:00:00+00:00,916.75418,TP1,68.97
2026-02-09 08:00:00+00:00,SELL,B,9/14,1295.82600,1384.26319,1207.38881,1118.95161,2026-02-10 08:00:00+00:00,1384.26319,SL,-88.44
2026-03-07 00:00:00+00:00,SELL,B,9/14,1542.33600,1650.50632,1434.16568,1325.99535,2026-03-07 08:00:00+00:00,1434.16568,TP1,108.17
2026-03-10 00:00:00+00:00,SELL,B,9/14,1439.68500,1538.29333,1341.07667,1242.46834,2026-03-12 04:00:00+00:00,1538.29333,SL,-98.61
