BACKTEST SUMMARY
Pair,R_10
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,75
Win Rate,57.3%
Profit Factor,1.38
Total PnL (pips),334.74

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-02 08:00:00+00:00,SELL,B,6/9,5673.94900,5701.87639,5646.02161,5627.40335,2025-11-02 12:00:00+00:00,5646.02161,TP1,27.93
2025-11-03 04:00:00+00:00,SELL,B,6/9,5589.81900,5619.99624,5559.64176,5539.52360,2025-11-05 00:00:00+00:00,5619.99624,SL,-30.18
2025-11-05 00:00:00+00:00,SELL,A,7/9,5628.98900,5656.91033,5601.06767,5582.45345,2025-11-06 12:00:00+00:00,5601.06767,TP1,27.92
2025-11-07 00:00:00+00:00,SELL,B,6/9,5578.44200,5606.06997,5550.81403,5532.39538,2025-11-08 20:00:00+00:00,5550.81403,TP1,27.63
2025-11-08 20:00:00+00:00,SELL,B,6/9,5561.16200,5587.44990,5534.87410,5517.34883,2025-11-10 08:00:00+00:00,5534.87410,TP1,26.29
2025-11-10 08:00:00+00:00,SELL,B,6/9,5539.27800,5566.82709,5511.72891,5493.36286,2025-11-11 16:00:00+00:00,5511.72891,TP1,27.55
2025-11-11 16:00:00+00:00,SELL,B,6/9,5505.51900,5534.53880,5476.49920,5457.15266,2025-11-13 20:00:00+00:00,5476.49920,TP1,29.02
2025-11-13 20:00:00+00:00,SELL,B,6/9,5466.20600,5495.47485,5436.93715,5417.42459,2025-11-15 12:00:00+00:00,5436.93715,TP1,29.27
2025-11-15 12:00:00+00:00,SELL,B,6/9,5437.75600,5465.01304,5410.49896,5392.32760,2025-11-16 00:00:00+00:00,5465.01304,SL,-27.26
2025-11-16 04:00:00+00:00,SELL,A,7/9,5488.65200,5518.01668,5459.28732,5439.71086,2025-11-17 12:00:00+00:00,5518.01668,SL,-29.36
2025-11-17 12:00:00+00:00,SELL,B,6/9,5521.26700,5551.16311,5491.37089,5471.44014,2025-11-18 04:00:00+00:00,5551.16311,SL,-29.90
2025-11-19 16:00:00+00:00,SELL,B,6/9,5561.44300,5591.78194,5531.10406,5510.87810,2025-11-21 08:00:00+00:00,5531.10406,TP1,30.34
2025-11-28 20:00:00+00:00,SELL,B,6/9,5407.75600,5436.32339,5379.18861,5360.14369,2025-11-30 16:00:00+00:00,5436.32339,SL,-28.57
2025-11-30 20:00:00+00:00,SELL,B,6/9,5423.52000,5451.44044,5395.59956,5376.98594,2025-12-01 00:00:00+00:00,5451.44044,SL,-27.92
2025-12-12 20:00:00+00:00,BUY,B,6/9,5505.95100,5477.06641,5534.83559,5554.09199,2025-12-13 04:00:00+00:00,5534.83559,TP1,28.88
2025-12-15 00:00:00+00:00,BUY,B,6/9,5581.32100,5554.09094,5608.55106,5626.70444,2025-12-15 04:00:00+00:00,5554.09094,SL,-27.23
2025-12-15 16:00:00+00:00,BUY,B,6/9,5551.29900,5520.25704,5582.34096,5603.03560,2025-12-17 04:00:00+00:00,5520.25704,SL,-31.04
2025-12-17 04:00:00+00:00,BUY,A,7/9,5528.48100,5498.01250,5558.94950,5579.26183,2025-12-18 00:00:00+00:00,5498.01250,SL,-30.47
2025-12-18 04:00:00+00:00,BUY,B,6/9,5493.21100,5462.37049,5524.05151,5544.61184,2025-12-18 20:00:00+00:00,5524.05151,TP1,30.84
2025-12-18 20:00:00+00:00,BUY,B,6/9,5518.08700,5486.70613,5549.46787,5570.38845,2025-12-19 04:00:00+00:00,5549.46787,TP1,31.38
2025-12-27 12:00:00+00:00,BUY,B,6/9,5722.12700,5692.53423,5751.71977,5771.44829,2025-12-31 00:00:00+00:00,5751.71977,TP1,29.59
2025-12-31 00:00:00+00:00,BUY,B,6/9,5748.61500,5722.11593,5775.11407,5792.78012,2025-12-31 04:00:00+00:00,5775.11407,TP1,26.50
2025-12-31 16:00:00+00:00,BUY,B,6/9,5774.27800,5748.62001,5799.93599,5817.04131,2026-01-01 12:00:00+00:00,5799.93599,TP1,25.66
2026-01-01 12:00:00+00:00,BUY,B,6/9,5812.97800,5786.86987,5839.08613,5856.49155,2026-01-01 20:00:00+00:00,5786.86987,SL,-26.11
2026-01-02 04:00:00+00:00,BUY,B,6/9,5798.32400,5770.39684,5826.25116,5844.86926,2026-01-03 04:00:00+00:00,5770.39684,SL,-27.93
