BACKTEST SUMMARY
Pair,R_50
Period,2026-02-03 15:00:00+00:00 to 2026-03-17 05:00:00+00:00
Total Signals,8
Win Rate,62.5%
Profit Factor,3.46
Total PnL (pips),6.97

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-16 12:00:00+00:00,BUY,B,9/12,117.65260,116.75494,119.44791,120.34557,2026-02-16 15:00:00+00:00,119.44791,TP1,1.80
2026-02-18 17:00:00+00:00,BUY,B,9/12,120.82050,119.75166,122.95819,124.02703,2026-02-19 01:00:00+00:00,119.75166,SL,-1.07
2026-02-19 12:00:00+00:00,BUY,B,9/12,118.86990,117.88170,120.84631,121.83451,2026-02-19 15:00:00+00:00,120.84631,TP1,1.98
2026-02-21 23:00:00+00:00,SELL,B,9/12,111.38170,112.25876,109.62759,108.75053,2026-02-22 04:00:00+00:00,109.62759,TP1,1.75
2026-02-22 11:00:00+00:00,SELL,B,9/12,110.63720,111.49807,108.91545,108.05458,2026-02-22 19:00:00+00:00,108.91545,TP1,1.72
2026-03-02 07:00:00+00:00,SELL,B,9/12,108.94620,109.79813,107.24235,106.39042,2026-03-02 17:00:00+00:00,106.39042,TP2,2.56
2026-03-03 13:00:00+00:00,SELL,B,9/12,108.12740,109.03640,106.30941,105.40041,2026-03-03 14:00:00+00:00,109.03640,SL,-0.91
2026-03-09 09:00:00+00:00,BUY,B,9/12,111.38290,110.52795,113.09279,113.94774,2026-03-09 14:00:00+00:00,110.52795,SL,-0.85
