BACKTEST SUMMARY
Pair,R_75
Period,2026-01-24 08:00:00+00:00 to 2026-03-15 00:00:00+00:00
Total Signals,4
Win Rate,25.0%
Profit Factor,0.46
Total PnL (pips),-2251.80

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-27 12:00:00+00:00,BUY,A+,36585.24030,34790.69738,38379.78322,40174.32615,2026-02-28 16:00:00+00:00,34790.69738,SL,-1794.54
2026-02-28 16:00:00+00:00,BUY,A+,35364.85710,33581.59759,37148.11661,38931.37613,2026-03-01 12:00:00+00:00,33581.59759,SL,-1783.26
2026-03-11 16:00:00+00:00,BUY,A+,34590.81420,32960.61087,36221.01753,37851.22086,2026-03-13 20:00:00+00:00,36221.01753,TP1,1630.20
2026-03-14 20:00:00+00:00,BUY,A+,36100.79920,34383.82053,37817.77787,39534.75654,2026-03-15 00:00:00+00:00,35796.60070,OPEN,-304.20
