BACKTEST SUMMARY
Pair,R_10
Period,2026-02-02 16:00:00+00:00 to 2026-03-16 06:00:00+00:00
Total Signals,3
Win Rate,100.0%
Profit Factor,0.00
Total PnL (pips),40.37

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-15 01:00:00+00:00,SELL,A,8/10,5231.66000,5246.09443,5217.22557,5207.60262,2026-02-15 05:00:00+00:00,5217.22557,TP1,14.43
2026-02-16 09:00:00+00:00,SELL,A,8/10,5204.67000,5217.31866,5192.02134,5183.58891,2026-02-16 12:00:00+00:00,5192.02134,TP1,12.65
2026-02-22 18:00:00+00:00,SELL,A,8/10,5068.34200,5081.63343,5055.05057,5046.18961,2026-02-23 03:00:00+00:00,5055.05057,TP1,13.29
