BACKTEST SUMMARY
Pair,R_100
Period,2026-02-03 18:00:00+00:00 to 2026-03-17 07:00:00+00:00
Total Signals,4
Win Rate,50.0%
Profit Factor,1.42
Total PnL (pips),12.79

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-15 18:00:00+00:00,SELL,B,10/13,967.05000,982.96935,935.21130,919.29196,2026-02-15 20:00:00+00:00,982.96935,SL,-15.92
2026-02-24 14:00:00+00:00,SELL,B,10/13,817.66000,832.34138,788.29724,773.61586,2026-02-24 15:00:00+00:00,832.34138,SL,-14.68
2026-03-09 04:00:00+00:00,SELL,B,10/13,693.17000,704.39040,670.72920,659.50881,2026-03-09 21:00:00+00:00,670.72920,TP1,22.44
2026-03-11 14:00:00+00:00,SELL,B,10/13,643.76000,654.23321,622.81357,612.34036,2026-03-11 20:00:00+00:00,622.81357,TP1,20.95
