BACKTEST SUMMARY
Pair,R_10
Period,2026-02-03 15:00:00+00:00 to 2026-03-17 05:00:00+00:00
Total Signals,6
Win Rate,83.3%
Profit Factor,10.26
Total PnL (pips),80.10

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-15 03:00:00+00:00,SELL,B,9/12,5223.85000,5233.51683,5204.51634,5194.84951,2026-02-15 08:00:00+00:00,5204.51634,TP1,19.33
2026-02-22 20:00:00+00:00,SELL,B,9/12,5068.37900,5077.43179,5050.27341,5041.22062,2026-02-23 06:00:00+00:00,5050.27341,TP1,18.11
2026-02-23 17:00:00+00:00,SELL,B,9/12,5078.81900,5087.15889,5062.13922,5053.79933,2026-02-23 20:00:00+00:00,5062.13922,TP1,16.68
2026-02-24 23:00:00+00:00,SELL,B,9/12,5044.29600,5052.26017,5028.36766,5020.40350,2026-02-25 03:00:00+00:00,5028.36766,TP1,15.93
2026-02-25 07:00:00+00:00,SELL,B,9/12,5049.86000,5059.20975,5031.16050,5021.81076,2026-02-25 21:00:00+00:00,5031.16050,TP1,18.70
2026-03-05 19:00:00+00:00,BUY,B,9/12,5068.83100,5060.18009,5086.13281,5094.78372,2026-03-06 19:00:00+00:00,5060.18009,SL,-8.65
