BACKTEST SUMMARY
Pair,R_100
Period,2025-12-22 08:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,18
Win Rate,50.0%
Profit Factor,1.02
Total PnL (pips),6.00

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-01-25 20:00:00+00:00,BUY,B,6/9,1108.16000,1052.23417,1164.08583,1201.36972,2026-01-26 04:00:00+00:00,1052.23417,SL,-55.93
2026-01-26 12:00:00+00:00,BUY,B,6/9,1124.74000,1064.55360,1184.92640,1225.05067,2026-02-01 08:00:00+00:00,1064.55360,SL,-60.19
2026-02-16 20:00:00+00:00,SELL,B,6/9,868.57000,921.35578,815.78422,780.59370,2026-02-18 04:00:00+00:00,815.78422,TP1,52.79
2026-02-18 04:00:00+00:00,SELL,B,6/9,826.13000,875.39350,776.86650,744.02417,2026-02-18 16:00:00+00:00,875.39350,SL,-49.26
2026-02-18 20:00:00+00:00,SELL,B,6/9,863.58000,912.04109,815.11891,782.81152,2026-02-20 04:00:00+00:00,912.04109,SL,-48.46
2026-02-20 04:00:00+00:00,SELL,B,6/9,920.98000,967.49203,874.46797,843.45996,2026-02-21 04:00:00+00:00,874.46797,TP1,46.51
2026-02-21 04:00:00+00:00,SELL,A,7/9,876.43000,921.77521,831.08479,800.85465,2026-02-22 20:00:00+00:00,831.08479,TP1,45.35
2026-02-23 00:00:00+00:00,SELL,B,6/9,823.02000,864.85028,781.18972,753.30286,2026-02-24 00:00:00+00:00,781.18972,TP1,41.83
2026-02-24 00:00:00+00:00,SELL,B,6/9,796.65000,838.22439,755.07561,727.35935,2026-02-24 08:00:00+00:00,838.22439,SL,-41.57
2026-02-24 16:00:00+00:00,SELL,A,7/9,832.68000,875.65810,789.70190,761.04983,2026-02-25 12:00:00+00:00,875.65810,SL,-42.98
2026-02-25 12:00:00+00:00,SELL,B,6/9,863.55000,905.71391,821.38609,793.27682,2026-02-27 00:00:00+00:00,821.38609,TP1,42.16
2026-02-27 08:00:00+00:00,SELL,B,6/9,843.99000,885.70641,802.27359,774.46265,2026-02-27 12:00:00+00:00,802.27359,TP1,41.72
2026-02-28 00:00:00+00:00,SELL,B,6/9,825.01000,867.05147,782.96853,754.94088,2026-03-02 00:00:00+00:00,867.05147,SL,-42.04
2026-03-09 16:00:00+00:00,SELL,B,6/9,690.61000,727.23760,653.98240,629.56400,2026-03-09 20:00:00+00:00,653.98240,TP1,36.63
2026-03-10 08:00:00+00:00,SELL,B,6/9,651.01000,687.60608,614.41392,590.01654,2026-03-11 00:00:00+00:00,614.41392,TP1,36.60
2026-03-11 00:00:00+00:00,SELL,B,6/9,620.15000,654.57424,585.72576,562.77626,2026-03-14 08:00:00+00:00,585.72576,TP1,34.42
2026-03-14 08:00:00+00:00,SELL,B,6/9,586.43000,616.19096,556.66904,536.82840,2026-03-14 20:00:00+00:00,616.19096,SL,-29.76
2026-03-15 00:00:00+00:00,SELL,A,7/9,616.23000,646.63870,585.82130,565.54883,2026-03-15 08:00:00+00:00,618.04000,OPEN,-1.81
