BACKTEST SUMMARY
Pair,R_25
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,37
Win Rate,51.4%
Profit Factor,1.17
Total PnL (pips),92.31

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-18 00:00:00+00:00,BUY,A+,2740.25400,2705.60501,2774.90299,2798.00231,2025-11-18 20:00:00+00:00,2705.60501,SL,-34.65
2025-11-19 00:00:00+00:00,BUY,A+,2742.73800,2705.72051,2779.75549,2804.43382,2025-11-19 16:00:00+00:00,2779.75549,TP1,37.02
2025-11-19 20:00:00+00:00,BUY,A+,2750.61900,2714.68511,2786.55289,2810.50882,2025-11-21 12:00:00+00:00,2714.68511,SL,-35.93
2025-12-03 16:00:00+00:00,SELL,A+,2436.17600,2468.75338,2403.59862,2381.88037,2025-12-04 00:00:00+00:00,2403.59862,TP1,32.58
2025-12-08 00:00:00+00:00,SELL,A+,2365.82800,2393.73002,2337.92598,2319.32463,2025-12-10 00:00:00+00:00,2393.73002,SL,-27.90
2025-12-25 12:00:00+00:00,SELL,A+,2415.36000,2446.31681,2384.40319,2363.76532,2025-12-25 20:00:00+00:00,2384.40319,TP1,30.96
2025-12-26 16:00:00+00:00,SELL,A+,2397.22000,2427.94698,2366.49302,2346.00836,2025-12-27 04:00:00+00:00,2427.94698,SL,-30.73
2025-12-27 20:00:00+00:00,SELL,A+,2427.34400,2461.08623,2393.60177,2371.10695,2025-12-30 12:00:00+00:00,2393.60177,TP1,33.74
2026-01-01 00:00:00+00:00,SELL,A+,2392.97600,2420.95123,2365.00077,2346.35062,2026-01-01 20:00:00+00:00,2365.00077,TP1,27.98
2026-01-01 20:00:00+00:00,SELL,A+,2386.97200,2415.78497,2358.15903,2338.95038,2026-01-02 04:00:00+00:00,2415.78497,SL,-28.81
2026-01-02 12:00:00+00:00,SELL,A+,2408.49400,2437.82351,2379.16449,2359.61148,2026-01-04 04:00:00+00:00,2437.82351,SL,-29.33
2026-01-08 12:00:00+00:00,SELL,A+,2394.03800,2423.73952,2364.33648,2344.53547,2026-01-10 12:00:00+00:00,2364.33648,TP1,29.70
2026-01-12 00:00:00+00:00,SELL,A+,2369.88500,2399.98978,2339.78022,2319.71036,2026-01-12 20:00:00+00:00,2399.98978,SL,-30.10
2026-01-12 20:00:00+00:00,SELL,A+,2382.09900,2411.46602,2352.73198,2333.15397,2026-01-14 00:00:00+00:00,2352.73198,TP1,29.37
2026-01-14 16:00:00+00:00,SELL,A+,2354.53500,2386.95828,2322.11172,2300.49620,2026-01-16 16:00:00+00:00,2386.95828,SL,-32.42
2026-01-22 16:00:00+00:00,BUY,A+,2487.27700,2452.44771,2522.10629,2545.32581,2026-01-23 08:00:00+00:00,2522.10629,TP1,34.83
2026-01-23 20:00:00+00:00,BUY,A+,2481.10500,2446.76450,2515.44550,2538.33916,2026-01-25 16:00:00+00:00,2515.44550,TP1,34.34
2026-01-25 20:00:00+00:00,BUY,A+,2495.09800,2462.35646,2527.83954,2549.66723,2026-01-26 04:00:00+00:00,2527.83954,TP1,32.74
2026-01-30 04:00:00+00:00,BUY,A+,2643.33800,2605.21883,2681.45717,2706.86996,2026-01-30 12:00:00+00:00,2681.45717,TP1,38.12
2026-01-30 20:00:00+00:00,BUY,A+,2661.23600,2622.31518,2700.15682,2726.10404,2026-01-31 12:00:00+00:00,2622.31518,SL,-38.92
