BACKTEST SUMMARY
Pair,R_100
Period,2026-02-03 01:00:00+00:00 to 2026-03-16 15:00:00+00:00
Total Signals,5
Win Rate,80.0%
Profit Factor,3.83
Total PnL (pips),62.38

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-11 13:00:00+00:00,SELL,B,9/12,1078.94000,1106.92527,1050.95473,1032.29788,2026-02-11 20:00:00+00:00,1050.95473,TP1,27.99
2026-02-15 18:00:00+00:00,SELL,B,9/12,967.05000,990.92902,943.17098,927.25163,2026-02-16 04:00:00+00:00,943.17098,TP1,23.88
2026-02-24 14:00:00+00:00,SELL,B,9/12,817.66000,839.68207,795.63793,780.95655,2026-02-24 15:00:00+00:00,839.68207,SL,-22.02
2026-03-09 04:00:00+00:00,SELL,B,9/12,693.17000,710.00060,676.33940,665.11900,2026-03-09 20:00:00+00:00,676.33940,TP1,16.83
2026-03-11 14:00:00+00:00,SELL,B,9/12,643.76000,659.46982,628.05018,617.57696,2026-03-11 15:00:00+00:00,628.05018,TP1,15.71
