BACKTEST SUMMARY
Pair,R_25
Period,2025-09-30 00:00:00+00:00 to 2026-03-15 08:00:00+00:00
Total Signals,52
Win Rate,50.0%
Profit Factor,1.05
Total PnL (pips),16.00

TRADES
Entry Time,Direction,Grade,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2025-11-11 00:00:00+00:00,BUY,A+,2570.26200,2537.53140,2602.99260,2635.72320,2025-11-11 12:00:00+00:00,2602.99260,TP1,32.73
2025-11-17 20:00:00+00:00,BUY,A+,2755.85500,2721.70940,2790.00060,2824.14620,2025-11-18 12:00:00+00:00,2721.70940,SL,-34.15
2025-11-18 12:00:00+00:00,BUY,A+,2737.78900,2702.29537,2773.28263,2808.77626,2025-11-19 16:00:00+00:00,2773.28263,TP1,35.49
2025-11-19 16:00:00+00:00,BUY,A+,2772.83400,2736.75404,2808.91396,2844.99391,2025-11-20 16:00:00+00:00,2736.75404,SL,-36.08
2025-11-20 16:00:00+00:00,BUY,A+,2744.55600,2710.62983,2778.48217,2812.40834,2025-11-21 12:00:00+00:00,2710.62983,SL,-33.93
2025-11-29 12:00:00+00:00,SELL,A+,2508.50000,2539.67989,2477.32011,2446.14023,2025-11-29 20:00:00+00:00,2477.32011,TP1,31.18
2025-12-02 20:00:00+00:00,SELL,A+,2439.01600,2471.09392,2406.93808,2374.86016,2025-12-04 00:00:00+00:00,2406.93808,TP1,32.08
2025-12-06 04:00:00+00:00,SELL,A+,2373.93200,2405.18007,2342.68393,2311.43585,2025-12-07 00:00:00+00:00,2342.68393,TP1,31.25
2025-12-07 20:00:00+00:00,SELL,A+,2356.35200,2384.50999,2328.19401,2300.03603,2025-12-09 16:00:00+00:00,2384.50999,SL,-28.16
2025-12-09 16:00:00+00:00,SELL,A+,2389.23500,2417.55246,2360.91754,2332.60008,2025-12-10 12:00:00+00:00,2417.55246,SL,-28.32
2025-12-25 12:00:00+00:00,SELL,A+,2415.36000,2446.31681,2384.40319,2353.44639,2025-12-25 20:00:00+00:00,2384.40319,TP1,30.96
2025-12-26 04:00:00+00:00,SELL,A+,2385.44300,2416.84456,2354.04144,2322.63989,2025-12-26 20:00:00+00:00,2416.84456,SL,-31.40
2025-12-26 20:00:00+00:00,SELL,A+,2415.52500,2447.20999,2383.84001,2352.15503,2025-12-27 08:00:00+00:00,2447.20999,SL,-31.68
2025-12-27 16:00:00+00:00,SELL,A+,2442.78600,2476.90402,2408.66798,2374.54996,2025-12-29 00:00:00+00:00,2408.66798,TP1,34.12
2025-12-30 08:00:00+00:00,SELL,A+,2399.04300,2428.32589,2369.76011,2340.47722,2025-12-31 00:00:00+00:00,2369.76011,TP1,29.28
2025-12-31 16:00:00+00:00,SELL,A+,2381.78700,2409.68984,2353.88416,2325.98133,2026-01-02 04:00:00+00:00,2409.68984,SL,-27.90
2026-01-02 04:00:00+00:00,SELL,A+,2417.40700,2446.34777,2388.46623,2359.52547,2026-01-04 04:00:00+00:00,2446.34777,SL,-28.94
