BACKTEST SUMMARY
Pair,R_25
Period,2026-02-03 00:00:00+00:00 to 2026-03-16 14:00:00+00:00
Total Signals,3
Win Rate,33.3%
Profit Factor,0.49
Total PnL (pips),-19.11

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-14 15:00:00+00:00,BUY,B,9/14,2831.00900,2812.94374,2849.07426,2861.11777,2026-02-15 11:00:00+00:00,2812.94374,SL,-18.07
2026-02-15 14:00:00+00:00,BUY,B,9/14,2800.96300,2782.70748,2819.21852,2831.38887,2026-02-16 01:00:00+00:00,2819.21852,TP1,18.26
2026-03-02 04:00:00+00:00,BUY,B,9/14,2942.07500,2922.77519,2961.37481,2974.24135,2026-03-02 09:00:00+00:00,2922.77519,SL,-19.30
