BACKTEST SUMMARY
Pair,R_10
Period,2026-02-02 16:00:00+00:00 to 2026-03-16 06:00:00+00:00
Total Signals,4
Win Rate,100.0%
Profit Factor,0.00
Total PnL (pips),53.18

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-02-14 23:00:00+00:00,SELL,A,8/10,5233.62700,5247.88755,5219.36645,5209.85942,2026-02-15 04:00:00+00:00,5219.36645,TP1,14.26
2026-02-16 09:00:00+00:00,SELL,A,8/10,5204.67000,5217.31866,5192.02134,5183.58891,2026-02-16 12:00:00+00:00,5192.02134,TP1,12.65
2026-02-22 18:00:00+00:00,SELL,A,8/10,5068.34200,5081.63343,5055.05057,5046.18961,2026-02-23 03:00:00+00:00,5055.05057,TP1,13.29
2026-03-05 19:00:00+00:00,BUY,A,8/10,5068.83100,5055.85464,5081.80736,5090.45827,2026-03-06 01:00:00+00:00,5081.80736,TP1,12.98
