BACKTEST SUMMARY
Pair,R_10
Period,2026-02-18 12:00:00+00:00 to 2026-03-20 10:00:00+00:00
Total Signals,2
Win Rate,0.0%
Profit Factor,0.00
Total PnL (pips),-18.35

TRADES
Entry Time,Direction,Grade,Score,Entry,SL,TP1,TP2,Exit Time,Exit Price,Exit Reason,PnL (pips)
2026-03-15 01:00:00+00:00,SELL,B,8/12,5095.40100,5104.74920,5076.70460,5067.35640,2026-03-15 07:00:00+00:00,5104.74920,SL,-9.35
2026-03-16 11:00:00+00:00,SELL,B,8/12,5108.76100,5117.75879,5090.76541,5081.76762,2026-03-16 12:00:00+00:00,5117.75879,SL,-9.00
